parameter,number_measurements,measurement_spacing,sample_size,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_rand,5,Time increasing,1000,0.04392004271762431,0,0.04746384985997103,0.05251661894266242,-0.25361501400289727,0.25166189426624186,0.0012926363756207637,0.049943227355164384,1000,0.05,0.113545289671238,0
theta_rand,5,Time decreasing,30,0.12494196422748885,0,0.03162277660168379,0.06624959295681683,-1.8377223398316211,1.6249592956816832,0.008558907970541235,0.04893063322651827,985,0.05,2.1387335469634645,0
theta_rand,5,Time decreasing,50,0.1578410027299154,1,0.03689967663341666,0.06148944700714687,-1.3100323366583346,1.148944700714687,0.0062654815252669235,0.04901105011346611,982,0.05,1.9778997730677816,0
theta_rand,5,Time decreasing,100,0.10245695499859162,0,0.03918731702012947,0.058755449165275836,-1.0812682979870534,0.8755449165275836,0.004944798603031197,0.04949337099205214,988,0.05,1.0132580158957323,0
theta_rand,5,Time decreasing,200,0.0797221412732757,0,0.04335436936567931,0.05628148618047441,-0.6645630634320692,0.6281486180474407,0.0032364703829800344,0.049741981650901296,980,0.05,0.516036698197414,0
theta_rand,5,Time decreasing,500,0.15171968800525953,4,0.04573438176150868,0.05375850615704675,-0.42656182384913227,0.3758506157046743,0.002107585008524705,0.04968023786006207,960,0.05,0.639524279875861,0
theta_rand,5,Time decreasing,1000,0.032375943036767954,7,0.04705497714607828,0.05260950945935096,-0.2945022853921724,0.26095094593509566,0.0014295406871385984,0.04995371727214446,964,0.05,0.09256545571108277,0
theta_rand,5,Middle-and-extreme,30,0.13606139297769565,3,0.032298750322089294,0.06586726686493355,-1.7701249677910709,1.586726686493354,0.008539302269745584,0.04883813063812082,998,0.05,2.3237387237583644,0
theta_rand,5,Middle-and-extreme,50,0.18690466659352684,0,0.0354679789100163,0.06144635503022519,-1.4532021089983695,1.1446355030225184,0.006542864532196225,0.048777108086043255,993,0.05,2.4457838279134947,0
theta_rand,5,Middle-and-extreme,100,0.1352172828859856,1,0.04029777286736949,0.05859240958708532,-0.9702227132630508,0.8592409587085317,0.004717245657595458,0.04936214685947423,972,0.05,1.2757062810515447,0
